algorithm,dataset,min,mean,max
BFS,graph500-22,33 B,33 B,33 B
BFS,datagen-8\_8-zf,155 KB,155 KB,155 KB
BFS,cit-Patents,48 MB,48 MB,48 MB
BFS,datagen-7\_5-fb,94 MB,94 MB,94 MB
BFS,datagen-7\_9-fb,231 MB,231 MB,231 MB
BFS,datagen-8\_4-fb,598 MB,598 MB,598 MB
PageRank,datagen-7\_5-fb,524 MB,524 MB,525 MB
PageRank,datagen-7\_9-fb,1 GB,1 GB,1 GB
PageRank,graph500-22,1 GB,1 GB,1 GB
PageRank,cit-Patents,2 GB,2 GB,2 GB
PageRank,datagen-8\_4-fb,3 GB,3 GB,3 GB
PageRank,datagen-8\_8-zf,41 GB,41 GB,41 GB
SSSP,datagen-8\_8-zf,187 KB,187 KB,187 KB
SSSP,datagen-7\_5-fb,126 MB,126 MB,126 MB
SSSP,datagen-7\_9-fb,321 MB,321 MB,321 MB
SSSP,datagen-8\_4-fb,850 MB,850 MB,850 MB
WCC,datagen-7\_5-fb,89 MB,89 MB,89 MB
WCC,datagen-7\_9-fb,198 MB,198 MB,198 MB
WCC,graph500-22,255 MB,255 MB,255 MB
WCC,datagen-8\_4-fb,553 MB,553 MB,553 MB
WCC,cit-Patents,1 GB,1 GB,1 GB
