algorithm,dataset,min,mean,max,std
BFS,graph500-22,30.48,30.82,31.08,0.31
BFS,datagen-7\_5-fb,47.65,48.19,49.00,0.71
BFS,cit-Patents,84.82,87.39,90.77,3.06
BFS,datagen-7\_9-fb,84.56,87.84,89.69,2.85
BFS,datagen-8\_4-fb,251.01,252.75,255.93,2.75
BFS,datagen-8\_8-zf,232.21,252.94,277.67,22.99
PageRank,datagen-7\_5-fb,59.71,61.56,62.76,1.62
PageRank,datagen-7\_9-fb,99.28,102.50,105.31,3.04
PageRank,graph500-22,119.63,124.52,129.00,4.70
PageRank,cit-Patents,136.00,137.27,139.41,1.86
PageRank,datagen-8\_4-fb,346.04,349.16,354.79,4.88
PageRank,datagen-8\_8-zf,547.50,628.88,730.19,92.96
SSSP,datagen-7\_5-fb,39.45,47.39,58.48,9.90
SSSP,datagen-7\_9-fb,68.36,74.94,88.07,11.37
SSSP,datagen-8\_8-zf,202.22,207.26,215.50,7.20
SSSP,datagen-8\_4-fb,277.56,286.91,294.07,8.47
WCC,datagen-7\_5-fb,36.35,38.29,40.73,2.23
WCC,datagen-7\_9-fb,66.19,71.02,76.46,5.16
WCC,graph500-22,71.56,72.28,73.37,0.96
WCC,cit-Patents,181.75,185.56,188.32,3.41
WCC,datagen-8\_4-fb,245.92,251.77,254.85,5.07
